"FieldGoalDistance","FieldGoalResult","HomeTeam","Month","KickerName","desc"
47,1,"NYJ","9","N.Folk","(:05) N.Folk 47 yard field goal is GOOD, Center-T.Purdum, Holder-R.Quigley."
34,1,"NYJ","9","N.Folk","(9:51) N.Folk 34 yard field goal is GOOD, Center-T.Purdum, Holder-R.Quigley."
43,1,"NYJ","9","D.Carpenter","(8:22) D.Carpenter 43 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
26,1,"NYJ","9","D.Carpenter","(5:38) D.Carpenter 26 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
43,1,"SF","9","A.Vinatieri","(7:00) A.Vinatieri 43 yard field goal is GOOD, Center-M.Overton, Holder-P.McAfee."
41,1,"SF","9","A.Vinatieri","(6:51) A.Vinatieri 41 yard field goal is GOOD, Center-M.Overton, Holder-P.McAfee."
51,0,"SF","9","A.Vinatieri","(12:46) A.Vinatieri 51 yard field goal is No Good, Wide Left, Center-M.Overton, Holder-P.McAfee."
21,1,"SEA","9","S.Hauschka","(9:44) S.Hauschka 21 yard field goal is GOOD, Center-C.Gresham, Holder-J.Ryan."
33,1,"SEA","9","J.Scobee","(:11) J.Scobee 33 yard field goal is GOOD, Center-C.Tinker, Holder-B.Anger."
47,1,"PIT","9","R.Gould","(8:07) (Field Goal formation) R.Gould 47 yard field goal is GOOD, Center-P.Mannelly, Holder-A.Podlesh."
27,1,"PIT","9","S.Suisham","(13:39) (Field Goal formation) S.Suisham 27 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
32,1,"PIT","9","R.Gould","(10:58) (Field Goal formation) R.Gould 32 yard field goal is GOOD, Center-P.Mannelly, Holder-A.Podlesh."
36,1,"PIT","9","S.Suisham","(5:43) (Field Goal formation) S.Suisham 36 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
44,1,"PIT","9","S.Suisham","(10:43) (Field Goal formation) S.Suisham 44 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
53,1,"DEN","9","M.Prater","(:53) M.Prater 53 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
41,1,"DEN","9","M.Prater","(:24) M.Prater 41 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
40,1,"DEN","9","M.Prater","(8:46) M.Prater 40 yard field goal is GOOD, Center-A.Brewer, Holder-B.Colquitt."
53,0,"STL","9","P.Dawson","(9:12) P.Dawson 53 yard field goal is No Good, Wide Right, Center-K.McDermott, Holder-A.Lee."
40,1,"STL","9","G.Zuerlein","(7:13) G.Zuerlein 40 yard field goal is GOOD, Center-J.McQuaide, Holder-J.Hekker."
71,0,"STL","9","P.Dawson","P.Dawson 71 yard field goal is No Good, Holder-A.Lee. A.Pettis at STL -9 to STL 9 for 18 yards (D.Morris). Field goal was wide left. Fair catch kick."
27,1,"BUF","9","D.Carpenter","(6:15) D.Carpenter 27 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
27,1,"BUF","9","D.Carpenter","(3:07) D.Carpenter 27 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
22,1,"BUF","9","D.Carpenter","(1:59) D.Carpenter 22 yard field goal is GOOD, Center-G.Sanborn, Holder-S.Powell."
35,1,"BUF","9","J.Tucker","(7:16) J.Tucker 35 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
24,1,"BUF","9","J.Tucker","(4:08) J.Tucker 24 yard field goal is GOOD, Center-M.Cox, Holder-S.Koch."
50,1,"TB","9","R.Lindell","(:32) (Field Goal formation) R.Lindell 50 yard field goal is GOOD, Center-A.Economos, Holder-M.Koenen."
42,1,"TB","9","J.Feely","(11:21) (Field Goal formation) J.Feely 42 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
27,1,"TB","9","J.Feely","(1:33) (Field Goal formation) J.Feely 27 yard field goal is GOOD, Center-M.Leach, Holder-D.Zastudil."
54,1,"MIN","9","B.Walsh","(12:12) (Field Goal formation) B.Walsh 54 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
26,1,"MIN","9","S.Suisham","(3:43) S.Suisham 26 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
37,1,"MIN","9","B.Walsh","(:41) B.Walsh 37 yard field goal is GOOD, Center-C.Loeffler, Holder-J.Locke."
44,0,"MIN","9","B.Walsh","(6:53) (Field Goal formation) B.Walsh 44 yard field goal is No Good, Wide Left, Center-C.Loeffler, Holder-J.Locke."
28,1,"MIN","9","S.Suisham","(3:40) S.Suisham 28 yard field goal is GOOD, Center-G.Warren, Holder-Z.Mesko."
51,1,"KC","9","R.Succop","(2:00) R.Succop 51 yard field goal is GOOD, Center-T.Gafford, Holder-D.Colquitt."
